,ID,ParentID,Timestamp,Username,Comment,LikeCount,ReplyCount,Date,Comment_clean,Comment_size,Sentiment,Confidence
3471,UgxdKUS2tyo4Eh9KkrJ4AaABAg,,2023-06-22T07:05:17Z,@Aurelioid,"Gila sih ini konsepnya keren banget. 😮💕

Maju terus JKT48!",644,2,2023-06-22T07:05:17Z,Gila sih ini konsepnya keren banget. Maju terus JKT48!,58,positive,0.9950110912322998
20589,UgznfTn5xRD8fuKc-el4AaABAg,,2023-03-13T14:07:54Z,@dohyon7672,Kekuatan JKT48 memang ada di performance. Kalian keren banget! Panjang umur JKT48!,611,3,2023-03-13T14:07:54Z,Kekuatan JKT48 memang ada di performance. Kalian keren banget! Panjang umur JKT48!,82,positive,0.9958168864250183
22949,UgxKVTACvziGZr5oR2R4AaABAg,,2023-03-13T09:25:41Z,@AbdulSalam-xe2cq,Selamat jkt48 NEW ERA atas mini albumnya dan makasih juga untuk special performance videonya semoga dengan ini jkt48 makin terkenal hingga mendunia amiin tapi jujur jkt48 udah kembali ke masa jayanya best banget aku tunggu ya single ke 24 oke,592,21,2023-03-13T09:25:41Z,Selamat jkt48 NEW ERA atas mini albumnya dan makasih juga untuk special performance videonya semoga dengan ini jkt48 makin terkenal hingga mendunia amiin tapi jujur jkt48 udah kembali ke masa jayanya best banget aku tunggu ya single ke 24 oke,242,positive,0.9902926683425903
19050,UgxL6srfJnQnXIerKbF4AaABAg,,2023-03-13T17:49:45Z,@Ren_ibn2508,"Marsha, muthe, Freya, ashel, Katrina. Udh mnjukkn penampilan yg sempurna, gerakan dance nya, suaranya, karakternya bisa pas. Luar biasa, tengkyuu JKT48,,, thnkyuu semuanya,, pokonya",589,19,2023-03-13T17:49:45Z,"Marsha, muthe, Freya, ashel, Katrina. Udh mnjukkn penampilan yg sempurna, gerakan dance nya, suaranya, karakternya bisa pas. Luar biasa, tengkyuu JKT48,,, thnkyuu semuanya,, pokonya",181,positive,0.996228814125061
21056,UgyfNGjQS9-U_lvSlUZ4AaABAg,,2023-03-13T13:42:37Z,@zenviclexandra,"CONGRATS JKT48 BUAT MINI ALBUM NYA,Btw marsha cakep banget,KALIAN SEMUA SEMANGAT TERUS YA KAKAK""STAF DAN JKT48 SEMANGAT TERUS POKONYA",563,2,2023-03-13T13:42:37Z,"CONGRATS JKT48 BUAT MINI ALBUM NYA,Btw marsha cakep banget,KALIAN SEMUA SEMANGAT TERUS YA KAKAK""STAF DAN JKT48 SEMANGAT TERUS POKONYA",133,positive,0.9906858801841736
20045,Ugwi77nQyryyiLJW9tJ4AaABAg,,2023-03-13T14:57:48Z,@rapsodi-jkt4884,"Akhirnya tiap member diberi kesempatan untuk diperkenalkan ke publik, biar tidak ada lagi statemen "" dia lagi dia lagi "" Semoga JKT48 makin dikenal banyak orang. New Era memang the best !",537,2,2023-03-13T14:57:48Z,"Akhirnya tiap member diberi kesempatan untuk diperkenalkan ke publik, biar tidak ada lagi statemen "" dia lagi dia lagi "" Semoga JKT48 makin dikenal banyak orang. New Era memang the best !",187,positive,0.9931467175483704
17818,UgyYlRVPvrNTAg0x_dd4AaABAg,,2023-03-14T01:54:14Z,@sans.FJkt48,"Mv nya keren bgt, dance nya pun gak kalah keren stiap member memberikan performent yang luar biasa CONGRATS JKT48 sukses terus JKT48😍😍😍😍",494,7,2023-03-14T01:54:14Z,"Mv nya keren bgt, dance nya pun gak kalah keren stiap member memberikan performent yang luar biasa CONGRATS JKT48 sukses terus JKT48",136,positive,0.9962839484214783
20547,UgxR4rTXY6knJm2X-8J4AaABAg,,2023-03-13T14:10:29Z,@uqannn,"Keren bangettttttttt. Dari aransemen, kostum, koreo, member, semuanya kerennnnnnnnn. Sukses terus JKT48",486,5,2023-03-13T14:10:29Z,"Keren bangettttttttt. Dari aransemen, kostum, koreo, member, semuanya kerennnnnnnnn. Sukses terus JKT48",103,positive,0.9965119957923889
16934,Ugx-44Kab4eDUEXjK4V4AaABAg,,2023-03-14T05:30:02Z,@simuth6833,"Belum juga 24 jam, tapi udah masuk trending musik ke 9... Keren bgt dh (´ε`)",484,14,2023-03-14T05:30:02Z,"Belum juga 24 jam, tapi udah masuk trending musik ke 9... Keren bgt dh (`)",76,positive,0.9933317303657532
18917,Ugx_jMZv56_DEacRaFd4AaABAg,,2023-03-13T18:39:07Z,@nananashwa1807,"Aku suka konsepnya, aku suka kostumnya, set panggungnya, lighting, dancenya, transisinya. semuanya kece badaaai.... bener2 bagus bangeeet..",481,0,2023-03-13T18:39:07Z,"Aku suka konsepnya, aku suka kostumnya, set panggungnya, lighting, dancenya, transisinya. semuanya kece badaaai.... bener2 bagus bangeeet..",139,positive,0.9980642199516296
20721,Ugy005g8AE2BhZbQgXl4AaABAg,,2023-03-13T13:58:18Z,@co2nut_,Congrats JKT48 New Era atas mini albumnya dan special performancenya.... Sumpah keren banget + meresahkan performance nya keren bangettt🔥,443,0,2023-03-13T13:58:56Z,Congrats JKT48 New Era atas mini albumnya dan special performancenya.... Sumpah keren banget + meresahkan performance nya keren bangettt,137,positive,0.9967760443687439
18250,UgzZTomWPfLhk0TBbT54AaABAg,,2023-03-14T00:00:47Z,@rfryzon4840,JKT48 menunjukkan bahwa kebangkitan dari pandemi dan sekarang JKT sudah bangkit dan cemerlang. Semangat dan tetap berjuang JKT48 ❤️❤️❤️,435,4,2023-03-14T00:00:47Z,JKT48 menunjukkan bahwa kebangkitan dari pandemi dan sekarang JKT sudah bangkit dan cemerlang. Semangat dan tetap berjuang JKT48,135,positive,0.9345099329948425
19965,Ugz10dHsT3faXOQQsQV4AaABAg,,2023-03-13T15:08:11Z,@alfiandkurniawan7155,"JKT48 New Era kelasss!! Marsha, Ashel, Muthe, Freya, Kathrina ga ada obat. Hypnotic performances, great arrangement, beautiful artistic design.",419,3,2023-03-13T15:08:11Z,"JKT48 New Era kelasss!! Marsha, Ashel, Muthe, Freya, Kathrina ga ada obat. Hypnotic performances, great arrangement, beautiful artistic design.",143,positive,0.4974561035633087
5728,UgxAhaaB3xaIuyFIexB4AaABAg,,2023-03-25T11:45:48Z,@DaunStevia-px1th,Konsep nya bagus banget. Idol lokal harus punya kualitas kayak gini.,416,6,2023-03-25T11:45:48Z,Konsep nya bagus banget. Idol lokal harus punya kualitas kayak gini.,68,positive,0.9955560564994812
12146,UgwpFbZVNodKMF-z1nN4AaABAg,,2023-03-15T00:52:51Z,@niallmendes1754,"Gilakkk, trending 1 umum coyyyy!! Congratulations jkt48, dibalik kontroversi video nya tapi menurut gw ini keren banget. Diluar ekspektasi wkwkwk",404,12,2023-03-15T00:52:51Z,"Gilakkk, trending 1 umum coyyyy!! Congratulations jkt48, dibalik kontroversi video nya tapi menurut gw ini keren banget. Diluar ekspektasi wkwkwk",145,positive,0.9928183555603027
22407,UgwV5eZx39kWn28YbAV4AaABAg,,2023-03-13T13:08:47Z,@reza9406,"CONGRATS JKT48 BUAT MINI ALBUMNYA, ALWAYS SUPPORT JKT48 🔥🔥",396,9,2023-03-13T13:08:47Z,"CONGRATS JKT48 BUAT MINI ALBUMNYA, ALWAYS SUPPORT JKT48",58,positive,0.7576784491539001
18416,UgxUmWIE0jJmDHittlJ4AaABAg,,2023-03-13T23:06:47Z,@Andikadika_25,"Konsep yang keren dan dewasa, aransemen yang ciamik, dance dan penampilan para member yang membuat terpana, kualitas videonya special performance ini bisa dibilang setara dengan MV, kerja bagus JOT, semoga JKT48 semakin terbang tinggi hingga go international 👏🏼🔥",394,3,2023-03-13T23:06:47Z,"Konsep yang keren dan dewasa, aransemen yang ciamik, dance dan penampilan para member yang membuat terpana, kualitas videonya special performance ini bisa dibilang setara dengan MV, kerja bagus JOT, semoga JKT48 semakin terbang tinggi hingga go international",262,positive,0.9967987537384033
