ID,Username,Comment,LikeCount,ReplyCount,Date,Comment_clean,Comment_clean_words,Sentiment_score,Sentiment
UgxdKUS2tyo4Eh9KkrJ4AaABAg,@Aurelioid,"Gila sih ini konsepnya keren banget. 😮💕

Maju terus JKT48!",644,2,2023-06-22T07:05:17Z,Gila sih ini konsepnya keren banget. Maju terus JKT48!,gila konsepnya keren banget maju jkt48,1,positive
UgznfTn5xRD8fuKc-el4AaABAg,@dohyon7672,Kekuatan JKT48 memang ada di performance. Kalian keren banget! Panjang umur JKT48!,611,3,2023-03-13T14:07:54Z,Kekuatan JKT48 memang ada di performance. Kalian keren banget! Panjang umur JKT48!,kekuatan jkt48 performance keren banget umur jkt48,1,positive
UgxKVTACvziGZr5oR2R4AaABAg,@AbdulSalam-xe2cq,Selamat jkt48 NEW ERA atas mini albumnya dan makasih juga untuk special performance videonya semoga dengan ini jkt48 makin terkenal hingga mendunia amiin tapi jujur jkt48 udah kembali ke masa jayanya best banget aku tunggu ya single ke 24 oke,592,21,2023-03-13T09:25:41Z,Selamat jkt48 NEW ERA atas mini albumnya dan makasih juga untuk special performance videonya semoga dengan ini jkt48 makin terkenal hingga mendunia amiin tapi jujur jkt48 udah kembali ke masa jayanya best banget aku tunggu ya single ke 24 oke,selamat jkt48 new era mini albumnya terima kasih special performance videonya semoga jkt48 terkenal mendunia amiin jujur jkt48 sudah jayanya best banget tunggu single oke,6,positive
UgxL6srfJnQnXIerKbF4AaABAg,@Ren_ibn2508,"Marsha, muthe, Freya, ashel, Katrina. Udh mnjukkn penampilan yg sempurna, gerakan dance nya, suaranya, karakternya bisa pas. Luar biasa, tengkyuu JKT48,,, thnkyuu semuanya,, pokonya",589,19,2023-03-13T17:49:45Z,"Marsha, muthe, Freya, ashel, Katrina. Udh mnjukkn penampilan yg sempurna, gerakan dance nya, suaranya, karakternya bisa pas. Luar biasa, tengkyuu JKT48,,, thnkyuu semuanya,, pokonya",marsha muthe freya ashel katrina udh mnjukkn penampilan yang sempurna gerakan dance suaranya karakternya pas tengkyuu jkt48 thnkyuu pokonya,1,positive
UgyfNGjQS9-U_lvSlUZ4AaABAg,@zenviclexandra,"CONGRATS JKT48 BUAT MINI ALBUM NYA,Btw marsha cakep banget,KALIAN SEMUA SEMANGAT TERUS YA KAKAK""STAF DAN JKT48 SEMANGAT TERUS POKONYA",563,2,2023-03-13T13:42:37Z,"CONGRATS JKT48 BUAT MINI ALBUM NYA,Btw marsha cakep banget,KALIAN SEMUA SEMANGAT TERUS YA KAKAK""STAF DAN JKT48 SEMANGAT TERUS POKONYA",congrats jkt48 mini album nyabtw marsha cakep bangetkalian semangat kakakstaf jkt48 semangat pokonya,3,positive
Ugwi77nQyryyiLJW9tJ4AaABAg,@rapsodi-jkt4884,"Akhirnya tiap member diberi kesempatan untuk diperkenalkan ke publik, biar tidak ada lagi statemen "" dia lagi dia lagi "" Semoga JKT48 makin dikenal banyak orang. New Era memang the best !",537,2,2023-03-13T14:57:48Z,"Akhirnya tiap member diberi kesempatan untuk diperkenalkan ke publik, biar tidak ada lagi statemen "" dia lagi dia lagi "" Semoga JKT48 makin dikenal banyak orang. New Era memang the best !",member kesempatan diperkenalkan publik biar statemen semoga jkt48 dikenal orang new era best,2,positive
UgyYlRVPvrNTAg0x_dd4AaABAg,@sans.FJkt48,"Mv nya keren bgt, dance nya pun gak kalah keren stiap member memberikan performent yang luar biasa CONGRATS JKT48 sukses terus JKT48😍😍😍😍",494,7,2023-03-14T01:54:14Z,"Mv nya keren bgt, dance nya pun gak kalah keren stiap member memberikan performent yang luar biasa CONGRATS JKT48 sukses terus JKT48",mv keren banget dance kalah keren setiap member performent congrats jkt48 sukses jkt48,3,positive
UgxR4rTXY6knJm2X-8J4AaABAg,@uqannn,"Keren bangettttttttt. Dari aransemen, kostum, koreo, member, semuanya kerennnnnnnnn. Sukses terus JKT48",486,5,2023-03-13T14:10:29Z,"Keren bangettttttttt. Dari aransemen, kostum, koreo, member, semuanya kerennnnnnnnn. Sukses terus JKT48",keren banget aransemen kostum koreo member keren sukses jkt48,3,positive
Ugx-44Kab4eDUEXjK4V4AaABAg,@simuth6833,"Belum juga 24 jam, tapi udah masuk trending musik ke 9... Keren bgt dh (´ε`)",484,14,2023-03-14T05:30:02Z,"Belum juga 24 jam, tapi udah masuk trending musik ke 9... Keren bgt dh (`)",jam sudah masuk trend musik keren banget dh,1,positive
Ugx_jMZv56_DEacRaFd4AaABAg,@nananashwa1807,"Aku suka konsepnya, aku suka kostumnya, set panggungnya, lighting, dancenya, transisinya. semuanya kece badaaai.... bener2 bagus bangeeet..",481,0,2023-03-13T18:39:07Z,"Aku suka konsepnya, aku suka kostumnya, set panggungnya, lighting, dancenya, transisinya. semuanya kece badaaai.... bener2 bagus bangeeet..",suka konsepnya suka kostumnya set panggungnya lighting dancenya transisinya kece badai benar bagus banget,1,positive
